Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
3/3/2025,03:05:00 pm,0,0.221,1.80
3/3/2025,03:10:00 pm,0,0.221,1.80
3/3/2025,03:15:00 pm,0,0.221,1.80
3/3/2025,03:20:00 pm,0,0.222,1.80
3/3/2025,03:25:00 pm,0,0.221,1.80
3/3/2025,03:30:00 pm,0,0.220,1.80
3/3/2025,03:35:00 pm,0,0.222,1.90
3/3/2025,03:40:00 pm,0,0.224,1.90
3/3/2025,03:45:00 pm,0,0.223,1.90
3/3/2025,03:50:00 pm,0,0.222,1.90
3/3/2025,03:55:00 pm,0,0.221,1.90
3/3/2025,04:00:00 pm,0,0.219,1.90
3/3/2025,04:05:00 pm,0,0.217,1.90
3/3/2025,04:10:00 pm,0,0.216,1.90
3/3/2025,04:15:00 pm,0,0.217,1.90
3/3/2025,04:20:00 pm,0,0.217,1.90
3/3/2025,04:25:00 pm,0,0.218,2.00
3/3/2025,04:30:00 pm,0,0.216,2.00
3/3/2025,04:35:00 pm,0,0.216,2.00
3/3/2025,04:40:00 pm,0,0.216,2.00
3/3/2025,04:45:00 pm,0,0.213,2.00
3/3/2025,04:50:00 pm,0,0.214,2.00
3/3/2025,04:55:00 pm,0,0.212,2.00
3/3/2025,05:00:00 pm,0,0.215,2.00
3/3/2025,05:05:00 pm,0,0.213,2.00
3/3/2025,05:10:00 pm,0,0.216,2.10
3/3/2025,05:15:00 pm,0,0.214,2.10
3/3/2025,05:20:00 pm,0,0.214,2.10
3/3/2025,05:25:00 pm,0,0.214,2.10
3/3/2025,05:30:00 pm,0,0.214,2.10
3/3/2025,05:35:00 pm,0,0.213,2.10
3/3/2025,05:40:00 pm,0,0.213,2.10
3/3/2025,05:45:00 pm,0,0.213,2.10
3/3/2025,05:50:00 pm,0,0.214,2.20
3/3/2025,05:55:00 pm,0,0.215,2.20
3/3/2025,06:00:00 pm,0,0.215,2.20
3/3/2025,06:05:00 pm,0,0.217,2.20
3/3/2025,06:10:00 pm,0,0.218,2.20
3/3/2025,06:15:00 pm,0,0.217,2.20
3/3/2025,06:20:00 pm,0,0.218,2.20
3/3/2025,06:25:00 pm,0,0.218,2.20
3/3/2025,06:30:00 pm,0,0.216,2.30
3/3/2025,06:35:00 pm,0,0.217,2.30
3/3/2025,06:40:00 pm,0,0.216,2.30
3/3/2025,06:45:00 pm,0,0.217,2.30
3/3/2025,06:50:00 pm,0,0.217,2.30
3/3/2025,06:55:00 pm,0,0.217,2.30
3/3/2025,07:00:00 pm,0,0.218,2.30
3/3/2025,07:05:00 pm,0,0.219,2.30
3/3/2025,07:10:00 pm,0,0.220,2.30
3/3/2025,07:15:00 pm,0,0.217,2.30
3/3/2025,07:20:00 pm,0,0.216,2.40
3/3/2025,07:25:00 pm,0,0.217,2.40
3/3/2025,07:30:00 pm,0,0.217,2.40
3/3/2025,07:35:00 pm,0,0.218,2.40
3/3/2025,07:40:00 pm,0,0.219,2.40
3/3/2025,07:45:00 pm,0,0.215,2.40
3/3/2025,07:50:00 pm,0,0.217,2.40
3/3/2025,07:55:00 pm,0,0.221,2.40
3/3/2025,08:00:00 pm,0,0.219,2.40
3/3/2025,08:05:00 pm,0,0.218,2.40
3/3/2025,08:10:00 pm,0,0.217,2.40
3/3/2025,08:15:00 pm,0,0.215,2.40
3/3/2025,08:20:00 pm,0,0.216,2.40
3/3/2025,08:25:00 pm,0,0.215,2.40
3/3/2025,08:30:00 pm,0,0.215,2.40
3/3/2025,08:35:00 pm,0,0.216,2.40
3/3/2025,08:40:00 pm,0,0.216,2.40
3/3/2025,08:45:00 pm,0,0.215,2.40
3/3/2025,08:50:00 pm,0,0.215,2.40
3/3/2025,08:55:00 pm,0,0.217,2.40
3/3/2025,09:00:00 pm,0,0.215,2.40
3/3/2025,09:05:00 pm,0,0.214,2.40
3/3/2025,09:10:00 pm,0,0.215,2.40
3/3/2025,09:15:00 pm,0,0.216,2.40
3/3/2025,09:20:00 pm,0,0.216,2.40
3/3/2025,09:25:00 pm,0,0.215,2.40
3/3/2025,09:30:00 pm,0,0.215,2.40
3/3/2025,09:35:00 pm,0,0.217,2.50
3/3/2025,09:40:00 pm,0,0.216,2.50
3/3/2025,09:45:00 pm,0,0.216,2.50
3/3/2025,09:50:00 pm,0,0.216,2.50
3/3/2025,09:55:00 pm,0,0.217,2.50
3/3/2025,10:00:00 pm,0,0.216,2.50
3/3/2025,10:05:00 pm,0,0.218,2.50
3/3/2025,10:10:00 pm,0,0.217,2.50
3/3/2025,10:15:00 pm,0,0.216,2.50
3/3/2025,10:20:00 pm,0,0.215,2.50
3/3/2025,10:25:00 pm,0,0.217,2.50
3/3/2025,10:30:00 pm,0,0.214,2.50
3/3/2025,10:35:00 pm,0,0.211,2.50
3/3/2025,10:40:00 pm,0,0.212,2.50
3/3/2025,10:45:00 pm,0,0.214,2.40
3/3/2025,10:50:00 pm,0,0.214,2.40
3/3/2025,10:55:00 pm,0,0.211,2.40
3/3/2025,11:00:00 pm,0,0.212,2.40
3/3/2025,11:05:00 pm,0,0.210,2.40
3/3/2025,11:10:00 pm,0,0.212,2.40
3/3/2025,11:15:00 pm,0,0.211,2.40
3/3/2025,11:20:00 pm,0,0.210,2.40
3/3/2025,11:25:00 pm,0,0.212,2.40
3/3/2025,11:30:00 pm,0,0.212,2.40
3/3/2025,11:35:00 pm,0,0.212,2.40
3/3/2025,11:40:00 pm,0,0.211,2.40
3/3/2025,11:45:00 pm,0,0.211,2.40
3/3/2025,11:50:00 pm,0,0.211,2.40
3/3/2025,11:55:00 pm,0,0.211,2.40
3/4/2025,12:00:00 am,0,0.208,2.40
3/4/2025,12:05:00 am,0,0.209,2.40
3/4/2025,12:10:00 am,0,0.210,2.40
3/4/2025,12:15:00 am,0,0.208,2.40
3/4/2025,12:20:00 am,0,0.209,2.40
3/4/2025,12:25:00 am,0,0.209,2.40
3/4/2025,12:30:00 am,0,0.211,2.40
3/4/2025,12:35:00 am,0,0.208,2.40
3/4/2025,12:40:00 am,0,0.210,2.40
3/4/2025,12:45:00 am,0,0.211,2.40
3/4/2025,12:50:00 am,0,0.210,2.40
3/4/2025,12:55:00 am,0,0.210,2.40
3/4/2025,01:00:00 am,0,0.211,2.40
3/4/2025,01:05:00 am,0,0.211,2.40
3/4/2025,01:10:00 am,0,0.212,2.40
3/4/2025,01:15:00 am,0,0.212,2.40
3/4/2025,01:20:00 am,0,0.214,2.40
3/4/2025,01:25:00 am,0,0.213,2.40
3/4/2025,01:30:00 am,0,0.210,2.40
3/4/2025,01:35:00 am,0,0.209,2.40
3/4/2025,01:40:00 am,0,0.206,2.40
3/4/2025,01:45:00 am,0,0.210,2.40
3/4/2025,01:50:00 am,0,0.208,2.40
3/4/2025,01:55:00 am,0,0.212,2.40
3/4/2025,02:00:00 am,0,0.212,2.40
3/4/2025,02:05:00 am,0,0.213,2.40
3/4/2025,02:10:00 am,0,0.210,2.40
3/4/2025,02:15:00 am,0,0.208,2.40
3/4/2025,02:20:00 am,0,0.210,2.40
3/4/2025,02:25:00 am,0,0.208,2.40
3/4/2025,02:30:00 am,0,0.210,2.40
3/4/2025,02:35:00 am,0,0.209,2.40
3/4/2025,02:40:00 am,0,0.207,2.40
3/4/2025,02:45:00 am,0,0.209,2.40
3/4/2025,02:50:00 am,0,0.209,2.40
3/4/2025,02:55:00 am,0,0.209,2.40
3/4/2025,03:00:00 am,0,0.210,2.40
3/4/2025,03:05:00 am,0,0.212,2.40
3/4/2025,03:10:00 am,0,0.213,2.40
3/4/2025,03:15:00 am,0,0.216,2.40
3/4/2025,03:20:00 am,0,0.211,2.40
3/4/2025,03:25:00 am,0,0.211,2.40
3/4/2025,03:30:00 am,0,0.212,2.40
3/4/2025,03:35:00 am,0,0.216,2.40
3/4/2025,03:40:00 am,0,0.221,2.40
3/4/2025,03:45:00 am,0,0.218,2.40
3/4/2025,03:50:00 am,0,0.213,2.40
3/4/2025,03:55:00 am,0,0.208,2.40
3/4/2025,04:00:00 am,0,0.209,2.40
3/4/2025,04:05:00 am,0,0.210,2.40
3/4/2025,04:10:00 am,0,0.215,2.40
3/4/2025,04:15:00 am,0,0.210,2.40
3/4/2025,04:20:00 am,0,0.206,2.40
3/4/2025,04:25:00 am,0,0.203,2.40
3/4/2025,04:30:00 am,0,0.205,2.40
3/4/2025,04:35:00 am,0,0.213,2.40
3/4/2025,04:40:00 am,0,0.212,2.40
3/4/2025,04:45:00 am,0,0.213,2.40
3/4/2025,04:50:00 am,0,0.213,2.40
3/4/2025,04:55:00 am,0,0.210,2.40
3/4/2025,05:00:00 am,0,0.212,2.40
3/4/2025,05:05:00 am,0,0.215,2.40
3/4/2025,05:10:00 am,0,0.216,2.40
3/4/2025,05:15:00 am,0,0.217,2.40
3/4/2025,05:20:00 am,0,0.213,2.40
3/4/2025,05:25:00 am,0,0.212,2.40
3/4/2025,05:30:00 am,0,0.211,2.40
3/4/2025,05:35:00 am,0,0.211,2.40
3/4/2025,05:40:00 am,0,0.209,2.40
3/4/2025,05:45:00 am,0,0.210,2.40
3/4/2025,05:50:00 am,0,0.211,2.40
3/4/2025,05:55:00 am,0,0.213,2.40
3/4/2025,06:00:00 am,0,0.213,2.40
3/4/2025,06:05:00 am,0,0.211,2.50
3/4/2025,06:10:00 am,0,0.209,2.50
3/4/2025,06:15:00 am,0,0.210,2.50
3/4/2025,06:20:00 am,0,0.212,2.50
3/4/2025,06:25:00 am,0,0.212,2.50
3/4/2025,06:30:00 am,0,0.215,2.50
3/4/2025,06:35:00 am,0,0.211,2.50
3/4/2025,06:40:00 am,0,0.212,2.50
3/4/2025,06:45:00 am,0,0.207,2.50
3/4/2025,06:50:00 am,0,0.219,2.50
3/4/2025,06:55:00 am,0,0.218,2.50
3/4/2025,07:00:00 am,0,0.206,2.50
3/4/2025,07:05:00 am,0,0.211,2.50
3/4/2025,07:10:00 am,0,0.203,2.50
3/4/2025,07:15:00 am,0,0.203,2.50
3/4/2025,07:20:00 am,0,0.211,2.50
3/4/2025,07:25:00 am,0,0.221,2.50
3/4/2025,07:30:00 am,0,0.215,2.50
3/4/2025,07:35:00 am,0,0.207,2.50
3/4/2025,07:40:00 am,0,0.217,2.50
3/4/2025,07:45:00 am,0,0.217,2.50
3/4/2025,07:50:00 am,0,0.218,2.50
3/4/2025,07:55:00 am,0,0.216,2.50
3/4/2025,08:00:00 am,0,0.212,2.60
3/4/2025,08:05:00 am,0,0.216,2.60
3/4/2025,08:10:00 am,0,0.220,2.60
3/4/2025,08:15:00 am,0,0.218,2.60
3/4/2025,08:20:00 am,0,0.215,2.60
3/4/2025,08:25:00 am,0,0.215,2.60
3/4/2025,08:30:00 am,0,0.215,2.60
3/4/2025,08:35:00 am,0,0.216,2.60
3/4/2025,08:40:00 am,0,0.216,2.60
3/4/2025,08:45:00 am,0,0.216,2.60
3/4/2025,08:50:00 am,0,0.216,2.60
3/4/2025,08:55:00 am,0,0.215,2.60
3/4/2025,09:00:00 am,0,0.213,2.60
3/4/2025,09:05:00 am,0,0.211,2.60
3/4/2025,09:10:00 am,0,0.211,2.60
3/4/2025,09:15:00 am,0,0.213,2.60
3/4/2025,09:20:00 am,0,0.214,2.60
3/4/2025,09:25:00 am,0,0.211,2.60
3/4/2025,09:30:00 am,0,0.209,2.60
3/4/2025,09:35:00 am,0,0.211,2.60
3/4/2025,09:40:00 am,0,0.212,2.60
3/4/2025,09:45:00 am,0,0.211,2.70
3/4/2025,09:50:00 am,0,0.217,2.70
3/4/2025,09:55:00 am,0,0.228,2.70
3/4/2025,10:00:00 am,0,0.227,2.70
3/4/2025,10:05:00 am,0,0.213,2.70
3/4/2025,10:10:00 am,0,0.208,2.70
3/4/2025,10:15:00 am,0,0.209,2.70
3/4/2025,10:20:00 am,0,0.217,2.70
3/4/2025,10:25:00 am,0,0.219,2.70
3/4/2025,10:30:00 am,0,0.214,2.70
3/4/2025,10:35:00 am,0,0.211,2.70
3/4/2025,10:40:00 am,0,0.211,2.70
3/4/2025,10:45:00 am,0,0.219,2.70
3/4/2025,10:50:00 am,0,0.218,2.70
3/4/2025,10:55:00 am,0,0.218,2.80
3/4/2025,11:00:00 am,0,0.219,2.80
3/4/2025,11:05:00 am,0,0.218,2.80
3/4/2025,11:10:00 am,0,0.216,2.80
3/4/2025,11:15:00 am,0,0.209,2.80
3/4/2025,11:20:00 am,0,0.213,2.80
3/4/2025,11:25:00 am,0,0.212,2.80
3/4/2025,11:30:00 am,0,0.213,2.80
3/4/2025,11:35:00 am,0,0.215,2.80
3/4/2025,11:40:00 am,0,0.221,2.80
3/4/2025,11:45:00 am,0,0.218,2.80
3/4/2025,11:50:00 am,0,0.214,2.80
3/4/2025,11:55:00 am,0,0.215,2.80
3/4/2025,12:00:00 pm,0,0.215,2.90
3/4/2025,12:05:00 pm,0,0.217,2.90
3/4/2025,12:10:00 pm,0,0.214,2.90
3/4/2025,12:15:00 pm,0,0.213,2.90
3/4/2025,12:20:00 pm,0,0.211,2.90
3/4/2025,12:25:00 pm,0,0.210,2.90
3/4/2025,12:30:00 pm,0,0.212,2.90
3/4/2025,12:35:00 pm,0,0.214,2.90
3/4/2025,12:40:00 pm,0,0.210,2.90
3/4/2025,12:45:00 pm,0,0.210,2.90
3/4/2025,12:50:00 pm,0,0.213,3.00
3/4/2025,12:55:00 pm,0,0.213,3.00
3/4/2025,01:00:00 pm,0,0.211,3.00
3/4/2025,01:05:00 pm,0,0.213,3.00
3/4/2025,01:10:00 pm,0,0.212,3.00
3/4/2025,01:15:00 pm,0,0.211,3.00
