Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
2025/09/11,11:45:00,0,0.002,19.20
2025/09/11,11:50:00,0,0.001,18.90
2025/09/11,11:55:00,0,-0.001,18.70
2025/09/11,12:00:00,0,-0.001,18.50
2025/09/11,12:05:00,0,-0.001,18.40
2025/09/11,12:10:00,0,-0.003,18.30
2025/09/11,12:15:00,0,-0.001,18.30
2025/09/11,12:20:00,0,-0.003,18.20
2025/09/11,12:25:00,0,-0.003,18.30
2025/09/11,12:30:00,0,-0.002,18.30
2025/09/11,12:35:00,0,-0.003,18.20
2025/09/11,12:40:00,0,-0.003,18.20
2025/09/11,12:45:00,0,-0.002,18.30
2025/09/11,12:50:00,0,-0.001,18.30
2025/09/11,12:55:00,0,-0.003,18.30
2025/09/11,13:00:00,0,-0.002,18.40
2025/09/11,13:05:00,0,0.000,18.50
2025/09/11,13:10:00,0,-0.002,18.60
2025/09/11,13:15:00,0,-0.002,18.70
2025/09/11,13:20:00,0,-0.002,18.70
2025/09/11,13:25:00,0,-0.002,18.70
2025/09/11,13:30:00,0,-0.001,18.80
2025/09/11,13:35:00,0,-0.002,18.80
2025/09/11,13:40:00,0,-0.001,18.80
2025/09/11,13:45:00,0,-0.001,18.90
2025/09/11,13:50:00,0,-0.001,18.90
2025/09/11,13:55:00,0,-0.001,19.00
2025/09/11,14:00:00,0,-0.002,19.10
2025/09/11,14:05:00,0,-0.002,19.20
2025/09/11,14:10:00,0,-0.001,19.30
2025/09/11,14:15:00,0,-0.001,19.30
2025/09/11,14:20:00,0,-0.001,19.30
2025/09/11,14:25:00,0,-0.002,19.30
2025/09/11,14:30:00,0,-0.001,19.30
2025/09/11,14:35:00,0,0.000,19.40
2025/09/11,14:40:00,0,-0.002,19.40
2025/09/11,14:45:00,0,0.000,19.50
2025/09/11,14:50:00,0,0.000,19.60
2025/09/11,14:55:00,0,-0.001,19.60
2025/09/11,15:00:00,0,0.000,19.70
2025/09/11,15:05:00,0,-0.001,19.70
2025/09/11,15:10:00,0,-0.001,19.70
2025/09/11,15:15:00,0,-0.002,19.70
2025/09/11,15:20:00,0,-0.003,19.70
2025/09/11,15:25:00,0,-0.002,19.70
2025/09/11,15:30:00,0,-0.002,19.80
2025/09/11,15:35:00,0,-0.002,19.80
2025/09/11,15:40:00,0,-0.004,19.80
2025/09/11,15:45:00,0,-0.004,19.80
2025/09/11,15:50:00,0,-0.006,19.70
2025/09/11,15:55:00,0,-0.005,19.60
2025/09/11,16:00:00,0,-0.008,19.50
2025/09/11,16:05:00,0,-0.007,19.50
2025/09/11,16:10:00,0,-0.007,19.50
2025/09/11,16:15:00,0,-0.008,19.50
2025/09/11,16:20:00,0,-0.007,19.60
2025/09/11,16:25:00,0,-0.007,19.50
2025/09/11,16:30:00,0,-0.007,19.50
2025/09/11,16:35:00,0,-0.007,19.60
2025/09/11,16:40:00,0,-0.006,19.60
2025/09/11,16:45:00,0,-0.007,19.60
2025/09/11,16:50:00,0,-0.007,19.60
2025/09/11,16:55:00,0,-0.007,19.60
2025/09/11,17:00:00,0,-0.007,19.50
2025/09/11,17:05:00,0,-0.008,19.50
2025/09/11,17:10:00,0,-0.007,19.50
2025/09/11,17:15:00,0,-0.008,19.40
2025/09/11,17:20:00,0,-0.007,19.40
2025/09/11,17:25:00,0,-0.009,19.30
2025/09/11,17:30:00,0,-0.010,19.30
2025/09/11,17:35:00,0,-0.008,19.30
2025/09/11,17:40:00,0,-0.009,19.30
2025/09/11,17:45:00,0,-0.008,19.30
2025/09/11,17:50:00,0,-0.009,19.30
2025/09/11,17:55:00,0,-0.009,19.30
2025/09/11,18:00:00,0,-0.009,19.30
2025/09/11,18:05:00,0,-0.008,19.30
2025/09/11,18:10:00,0,-0.008,19.30
2025/09/11,18:15:00,0,-0.008,19.30
2025/09/11,18:20:00,0,-0.011,19.20
2025/09/11,18:25:00,0,-0.010,19.20
2025/09/11,18:30:00,0,-0.011,19.20
2025/09/11,18:35:00,0,-0.011,19.20
2025/09/11,18:40:00,0,-0.011,19.10
2025/09/11,18:45:00,0,-0.011,19.10
2025/09/11,18:50:00,0,-0.011,19.10
2025/09/11,18:55:00,0,-0.011,19.10
2025/09/11,19:00:00,0,-0.011,19.00
2025/09/11,19:05:00,0,-0.012,19.00
2025/09/11,19:10:00,0,-0.011,19.00
2025/09/11,19:15:00,0,-0.012,18.90
2025/09/11,19:20:00,0,-0.012,18.90
2025/09/11,19:25:00,0,-0.013,18.80
2025/09/11,19:30:00,0,-0.013,18.70
2025/09/11,19:35:00,0,-0.013,18.70
2025/09/11,19:40:00,0,-0.011,18.70
2025/09/11,19:45:00,0,-0.013,18.60
2025/09/11,19:50:00,0,-0.012,18.60
2025/09/11,19:55:00,0,-0.014,18.50
2025/09/11,20:00:00,0,-0.013,18.50
2025/09/11,20:05:00,0,-0.013,18.40
