Date,Time,ms,LEVEL (m),TEMPERATURE (degC),Date_P,Time_P,Date_Time
9/23/2021,06:00:00 pm,0,0.004,18.7,2021-09-23,18:00:00,2021-09-23 18:00:00
9/23/2021,06:15:00 pm,0,0.009,17.7,2021-09-23,18:15:00,2021-09-23 18:15:00
9/23/2021,06:30:00 pm,0,0.009,17.2,2021-09-23,18:30:00,2021-09-23 18:30:00
9/23/2021,06:45:00 pm,0,0.008,16.9,2021-09-23,18:45:00,2021-09-23 18:45:00
9/23/2021,07:00:00 pm,0,0.008,16.6,2021-09-23,19:00:00,2021-09-23 19:00:00
9/23/2021,07:15:00 pm,0,0.006,16.3,2021-09-23,19:15:00,2021-09-23 19:15:00
9/23/2021,07:30:00 pm,0,0.005,16.1,2021-09-23,19:30:00,2021-09-23 19:30:00
9/23/2021,07:45:00 pm,0,0.007,15.8,2021-09-23,19:45:00,2021-09-23 19:45:00
9/23/2021,08:00:00 pm,0,0.003,15.4,2021-09-23,20:00:00,2021-09-23 20:00:00
9/23/2021,08:15:00 pm,0,0.004,15.2,2021-09-23,20:15:00,2021-09-23 20:15:00
9/23/2021,08:30:00 pm,0,0.004,14.7,2021-09-23,20:30:00,2021-09-23 20:30:00
9/23/2021,08:45:00 pm,0,0.002,14.5,2021-09-23,20:45:00,2021-09-23 20:45:00
9/23/2021,09:00:00 pm,0,0.001,14.1,2021-09-23,21:00:00,2021-09-23 21:00:00
9/23/2021,09:15:00 pm,0,0.004,13.9,2021-09-23,21:15:00,2021-09-23 21:15:00
9/23/2021,09:30:00 pm,0,0.002,13.6,2021-09-23,21:30:00,2021-09-23 21:30:00
9/23/2021,09:45:00 pm,0,0.0,13.3,2021-09-23,21:45:00,2021-09-23 21:45:00
9/23/2021,10:00:00 pm,0,0.002,13.3,2021-09-23,22:00:00,2021-09-23 22:00:00
9/23/2021,10:15:00 pm,0,0.002,13.0,2021-09-23,22:15:00,2021-09-23 22:15:00
9/23/2021,10:30:00 pm,0,-0.001,13.1,2021-09-23,22:30:00,2021-09-23 22:30:00
9/23/2021,10:45:00 pm,0,0.001,12.9,2021-09-23,22:45:00,2021-09-23 22:45:00
9/23/2021,11:00:00 pm,0,-0.001,12.6,2021-09-23,23:00:00,2021-09-23 23:00:00
9/23/2021,11:15:00 pm,0,0.002,12.6,2021-09-23,23:15:00,2021-09-23 23:15:00
9/23/2021,11:30:00 pm,0,-0.002,12.7,2021-09-23,23:30:00,2021-09-23 23:30:00
9/23/2021,11:45:00 pm,0,-0.002,12.6,2021-09-23,23:45:00,2021-09-23 23:45:00
9/24/2021,12:00:00 am,0,0.001,12.3,2021-09-24,00:00:00,2021-09-24 00:00:00
9/24/2021,12:15:00 am,0,0.001,12.0,2021-09-24,00:15:00,2021-09-24 00:15:00
9/24/2021,12:30:00 am,0,-0.002,11.9,2021-09-24,00:30:00,2021-09-24 00:30:00
9/24/2021,12:45:00 am,0,0.002,12.3,2021-09-24,00:45:00,2021-09-24 00:45:00
9/24/2021,01:00:00 am,0,-0.001,12.6,2021-09-24,01:00:00,2021-09-24 01:00:00
9/24/2021,01:15:00 am,0,-0.002,12.8,2021-09-24,01:15:00,2021-09-24 01:15:00
9/24/2021,01:30:00 am,0,-0.003,12.7,2021-09-24,01:30:00,2021-09-24 01:30:00
9/24/2021,01:45:00 am,0,-0.0,12.6,2021-09-24,01:45:00,2021-09-24 01:45:00
9/24/2021,02:00:00 am,0,-0.001,12.7,2021-09-24,02:00:00,2021-09-24 02:00:00
9/24/2021,02:15:00 am,0,-0.002,12.4,2021-09-24,02:15:00,2021-09-24 02:15:00
9/24/2021,02:30:00 am,0,-0.003,12.4,2021-09-24,02:30:00,2021-09-24 02:30:00
9/24/2021,02:45:00 am,0,-0.0,12.2,2021-09-24,02:45:00,2021-09-24 02:45:00
9/24/2021,03:00:00 am,0,-0.003,12.1,2021-09-24,03:00:00,2021-09-24 03:00:00
9/24/2021,03:15:00 am,0,-0.0,12.1,2021-09-24,03:15:00,2021-09-24 03:15:00
9/24/2021,03:30:00 am,0,-0.001,12.2,2021-09-24,03:30:00,2021-09-24 03:30:00
9/24/2021,03:45:00 am,0,-0.002,12.2,2021-09-24,03:45:00,2021-09-24 03:45:00
9/24/2021,04:00:00 am,0,-0.003,12.1,2021-09-24,04:00:00,2021-09-24 04:00:00
9/24/2021,04:15:00 am,0,-0.002,11.9,2021-09-24,04:15:00,2021-09-24 04:15:00
9/24/2021,04:30:00 am,0,-0.001,12.0,2021-09-24,04:30:00,2021-09-24 04:30:00
9/24/2021,04:45:00 am,0,0.001,11.9,2021-09-24,04:45:00,2021-09-24 04:45:00
9/24/2021,05:00:00 am,0,-0.0,11.9,2021-09-24,05:00:00,2021-09-24 05:00:00
9/24/2021,05:15:00 am,0,-0.001,11.9,2021-09-24,05:15:00,2021-09-24 05:15:00
9/24/2021,05:30:00 am,0,-0.0,11.6,2021-09-24,05:30:00,2021-09-24 05:30:00
9/24/2021,05:45:00 am,0,-0.0,11.5,2021-09-24,05:45:00,2021-09-24 05:45:00
9/24/2021,06:00:00 am,0,-0.002,11.5,2021-09-24,06:00:00,2021-09-24 06:00:00
9/24/2021,06:15:00 am,0,-0.004,11.5,2021-09-24,06:15:00,2021-09-24 06:15:00
9/24/2021,06:30:00 am,0,-0.001,11.5,2021-09-24,06:30:00,2021-09-24 06:30:00
9/24/2021,06:45:00 am,0,-0.003,11.5,2021-09-24,06:45:00,2021-09-24 06:45:00
9/24/2021,07:00:00 am,0,-0.001,11.7,2021-09-24,07:00:00,2021-09-24 07:00:00
9/24/2021,07:15:00 am,0,-0.001,11.8,2021-09-24,07:15:00,2021-09-24 07:15:00
9/24/2021,07:30:00 am,0,-0.002,11.6,2021-09-24,07:30:00,2021-09-24 07:30:00
9/24/2021,07:45:00 am,0,-0.003,11.5,2021-09-24,07:45:00,2021-09-24 07:45:00
9/24/2021,08:00:00 am,0,-0.001,11.4,2021-09-24,08:00:00,2021-09-24 08:00:00
9/24/2021,08:15:00 am,0,-0.001,11.4,2021-09-24,08:15:00,2021-09-24 08:15:00
9/24/2021,08:30:00 am,0,-0.001,11.6,2021-09-24,08:30:00,2021-09-24 08:30:00
9/24/2021,08:45:00 am,0,-0.001,11.7,2021-09-24,08:45:00,2021-09-24 08:45:00
9/24/2021,09:00:00 am,0,-0.002,12.1,2021-09-24,09:00:00,2021-09-24 09:00:00
9/24/2021,09:15:00 am,0,-0.004,12.4,2021-09-24,09:15:00,2021-09-24 09:15:00
9/24/2021,09:30:00 am,0,-0.004,12.7,2021-09-24,09:30:00,2021-09-24 09:30:00
9/24/2021,09:45:00 am,0,-0.005,13.0,2021-09-24,09:45:00,2021-09-24 09:45:00
9/24/2021,10:00:00 am,0,-0.003,13.3,2021-09-24,10:00:00,2021-09-24 10:00:00
9/24/2021,10:15:00 am,0,-0.001,13.7,2021-09-24,10:15:00,2021-09-24 10:15:00
9/24/2021,10:30:00 am,0,-0.002,14.0,2021-09-24,10:30:00,2021-09-24 10:30:00
9/24/2021,10:45:00 am,0,-0.0,14.4,2021-09-24,10:45:00,2021-09-24 10:45:00
9/24/2021,11:00:00 am,0,0.001,14.8,2021-09-24,11:00:00,2021-09-24 11:00:00
9/24/2021,11:15:00 am,0,0.003,15.3,2021-09-24,11:15:00,2021-09-24 11:15:00
9/24/2021,11:30:00 am,0,0.005,15.7,2021-09-24,11:30:00,2021-09-24 11:30:00
9/24/2021,11:45:00 am,0,0.004,16.3,2021-09-24,11:45:00,2021-09-24 11:45:00
9/24/2021,12:00:00 pm,0,0.006,16.7,2021-09-24,12:00:00,2021-09-24 12:00:00
9/24/2021,12:15:00 pm,0,0.008,16.8,2021-09-24,12:15:00,2021-09-24 12:15:00
9/24/2021,12:30:00 pm,0,0.009,17.1,2021-09-24,12:30:00,2021-09-24 12:30:00
9/24/2021,12:45:00 pm,0,0.01,17.4,2021-09-24,12:45:00,2021-09-24 12:45:00
9/24/2021,01:00:00 pm,0,0.011,17.8,2021-09-24,13:00:00,2021-09-24 13:00:00
9/24/2021,01:15:00 pm,0,0.01,18.0,2021-09-24,13:15:00,2021-09-24 13:15:00
9/24/2021,01:30:00 pm,0,0.008,18.1,2021-09-24,13:30:00,2021-09-24 13:30:00
9/24/2021,01:45:00 pm,0,0.009,18.4,2021-09-24,13:45:00,2021-09-24 13:45:00
9/24/2021,02:00:00 pm,0,0.009,18.5,2021-09-24,14:00:00,2021-09-24 14:00:00
9/24/2021,02:15:00 pm,0,0.011,18.8,2021-09-24,14:15:00,2021-09-24 14:15:00
9/24/2021,02:30:00 pm,0,0.01,19.1,2021-09-24,14:30:00,2021-09-24 14:30:00
9/24/2021,02:45:00 pm,0,0.012,19.4,2021-09-24,14:45:00,2021-09-24 14:45:00
9/24/2021,03:00:00 pm,0,0.007,19.4,2021-09-24,15:00:00,2021-09-24 15:00:00
