Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: �C
Date,Time,ms,LEVEL,TEMPERATURE
1/27/2022,5:30:30 PM,0,10.158,2
1/27/2022,5:45:30 PM,0,10.158,0.7
1/27/2022,6:00:30 PM,0,10.158,0.1
1/27/2022,6:15:30 PM,0,10.161,-0.1
1/27/2022,6:30:30 PM,0,10.161,0
1/27/2022,6:45:30 PM,0,10.164,0
1/27/2022,7:00:30 PM,0,10.17,-0.2
1/27/2022,7:15:30 PM,0,10.17,-0.3
1/27/2022,7:30:30 PM,0,10.17,-0.4
1/27/2022,7:45:30 PM,0,10.173,-0.4
1/27/2022,8:00:30 PM,0,10.176,-0.4
1/27/2022,8:15:30 PM,0,10.173,-0.4
1/27/2022,8:30:30 PM,0,10.173,-0.5
1/27/2022,8:45:30 PM,0,10.176,-0.5
1/27/2022,9:00:30 PM,0,10.176,-0.5
1/27/2022,9:15:30 PM,0,10.176,-0.5
1/27/2022,9:30:30 PM,0,10.176,-0.6
1/27/2022,9:45:30 PM,0,10.176,-0.6
1/27/2022,10:00:30 PM,0,10.176,-0.7
1/27/2022,10:15:30 PM,0,10.173,-0.8
1/27/2022,10:30:30 PM,0,10.173,-0.9
1/27/2022,10:45:30 PM,0,10.176,-1
1/27/2022,11:00:30 PM,0,10.176,-1.1
1/27/2022,11:15:30 PM,0,10.176,-1.1
1/27/2022,11:30:30 PM,0,10.176,-1.1
1/27/2022,11:45:30 PM,0,10.179,-1.2
1/28/2022,12:00:30 AM,0,10.179,-1.3
1/28/2022,12:15:30 AM,0,10.179,-1.3
1/28/2022,12:30:30 AM,0,10.179,-1.3
1/28/2022,12:45:30 AM,0,10.179,-1.3
1/28/2022,1:00:30 AM,0,10.176,-1.3
1/28/2022,1:15:30 AM,0,10.176,-1.3
1/28/2022,1:30:30 AM,0,10.173,-1.3
1/28/2022,1:45:30 AM,0,10.173,-1.3
1/28/2022,2:00:30 AM,0,10.173,-1.4
1/28/2022,2:15:30 AM,0,10.173,-1.4
1/28/2022,2:30:30 AM,0,10.173,-1.5
1/28/2022,2:45:30 AM,0,10.173,-1.6
1/28/2022,3:00:30 AM,0,10.173,-1.6
1/28/2022,3:15:30 AM,0,10.173,-1.6
1/28/2022,3:30:30 AM,0,10.173,-1.6
1/28/2022,3:45:30 AM,0,10.173,-1.5
1/28/2022,4:00:30 AM,0,10.17,-1.5
1/28/2022,4:15:30 AM,0,10.17,-1.5
1/28/2022,4:30:30 AM,0,10.167,-1.6
1/28/2022,4:45:30 AM,0,10.167,-1.6
1/28/2022,5:00:30 AM,0,10.167,-1.6
1/28/2022,5:15:30 AM,0,10.167,-1.7
1/28/2022,5:30:30 AM,0,10.167,-1.7
1/28/2022,5:45:30 AM,0,10.17,-1.7
