Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
1/27/2022,05:30:30 pm,0,10.158,2.00
1/27/2022,05:45:30 pm,0,10.158,0.70
1/27/2022,06:00:30 pm,0,10.158,0.10
1/27/2022,06:15:30 pm,0,10.161,-0.10
1/27/2022,06:30:30 pm,0,10.161,0.00
1/27/2022,06:45:30 pm,0,10.164,0.00
1/27/2022,07:00:30 pm,0,10.170,-0.20
1/27/2022,07:15:30 pm,0,10.170,-0.30
1/27/2022,07:30:30 pm,0,10.170,-0.40
1/27/2022,07:45:30 pm,0,10.173,-0.40
1/27/2022,08:00:30 pm,0,10.176,-0.40
1/27/2022,08:15:30 pm,0,10.173,-0.40
1/27/2022,08:30:30 pm,0,10.173,-0.50
1/27/2022,08:45:30 pm,0,10.176,-0.50
1/27/2022,09:00:30 pm,0,10.176,-0.50
1/27/2022,09:15:30 pm,0,10.176,-0.50
1/27/2022,09:30:30 pm,0,10.176,-0.60
1/27/2022,09:45:30 pm,0,10.176,-0.60
1/27/2022,10:00:30 pm,0,10.176,-0.70
1/27/2022,10:15:30 pm,0,10.173,-0.80
1/27/2022,10:30:30 pm,0,10.173,-0.90
1/27/2022,10:45:30 pm,0,10.176,-1.00
1/27/2022,11:00:30 pm,0,10.176,-1.10
1/27/2022,11:15:30 pm,0,10.176,-1.10
1/27/2022,11:30:30 pm,0,10.176,-1.10
1/27/2022,11:45:30 pm,0,10.179,-1.20
1/28/2022,12:00:30 am,0,10.179,-1.30
1/28/2022,12:15:30 am,0,10.179,-1.30
1/28/2022,12:30:30 am,0,10.179,-1.30
1/28/2022,12:45:30 am,0,10.179,-1.30
1/28/2022,01:00:30 am,0,10.176,-1.30
1/28/2022,01:15:30 am,0,10.176,-1.30
1/28/2022,01:30:30 am,0,10.173,-1.30
1/28/2022,01:45:30 am,0,10.173,-1.30
1/28/2022,02:00:30 am,0,10.173,-1.40
1/28/2022,02:15:30 am,0,10.173,-1.40
1/28/2022,02:30:30 am,0,10.173,-1.50
1/28/2022,02:45:30 am,0,10.173,-1.60
1/28/2022,03:00:30 am,0,10.173,-1.60
1/28/2022,03:15:30 am,0,10.173,-1.60
1/28/2022,03:30:30 am,0,10.173,-1.60
1/28/2022,03:45:30 am,0,10.173,-1.50
1/28/2022,04:00:30 am,0,10.170,-1.50
1/28/2022,04:15:30 am,0,10.170,-1.50
1/28/2022,04:30:30 am,0,10.167,-1.60
1/28/2022,04:45:30 am,0,10.167,-1.60
1/28/2022,05:00:30 am,0,10.167,-1.60
1/28/2022,05:15:30 am,0,10.167,-1.70
1/28/2022,05:30:30 am,0,10.167,-1.70
1/28/2022,05:45:30 am,0,10.170,-1.70
1/28/2022,06:00:30 am,0,10.170,-1.70
1/28/2022,06:15:30 am,0,10.170,-1.80
1/28/2022,06:30:30 am,0,10.170,-1.80
1/28/2022,06:45:30 am,0,10.173,-1.80
1/28/2022,07:00:30 am,0,10.176,-2.10
1/28/2022,07:15:30 am,0,10.179,-2.40
1/28/2022,07:30:30 am,0,10.182,-2.60
1/28/2022,07:45:30 am,0,10.185,-2.70
1/28/2022,08:00:30 am,0,10.182,-2.90
1/28/2022,08:15:30 am,0,10.185,-3.00
1/28/2022,08:30:30 am,0,10.188,-3.10
1/28/2022,08:45:30 am,0,10.191,-3.20
1/28/2022,09:00:30 am,0,10.191,-3.40
1/28/2022,09:15:30 am,0,10.194,-3.40
1/28/2022,09:30:30 am,0,10.194,-3.40
1/28/2022,09:45:30 am,0,10.197,-3.40
1/28/2022,10:00:30 am,0,10.194,-3.40
1/28/2022,10:15:30 am,0,10.197,-3.30
1/28/2022,10:30:30 am,0,10.197,-3.40
1/28/2022,10:45:30 am,0,10.197,-3.40
1/28/2022,11:00:30 am,0,10.200,-3.50
1/28/2022,11:15:30 am,0,10.200,-3.60
1/28/2022,11:30:30 am,0,10.203,-3.60
1/28/2022,11:45:30 am,0,10.203,-3.50
1/28/2022,12:00:30 pm,0,10.203,-3.30
1/28/2022,12:15:30 pm,0,10.200,-3.30
1/28/2022,12:30:30 pm,0,10.200,-3.30
1/28/2022,12:45:30 pm,0,10.200,-3.20
1/28/2022,01:00:30 pm,0,10.197,-3.30
1/28/2022,01:15:30 pm,0,10.200,-3.10
1/28/2022,01:30:30 pm,0,10.200,-3.00
1/28/2022,01:45:30 pm,0,10.200,-3.00
1/28/2022,02:00:30 pm,0,10.200,-3.00
1/28/2022,02:15:30 pm,0,10.200,-3.10
1/28/2022,02:30:30 pm,0,10.200,-3.10
1/28/2022,02:45:30 pm,0,10.200,-3.10
1/28/2022,03:00:30 pm,0,10.200,-3.00
1/28/2022,03:15:30 pm,0,10.200,-2.90
1/28/2022,03:30:30 pm,0,10.200,-2.90
1/28/2022,03:45:30 pm,0,10.200,-2.90
1/28/2022,04:00:30 pm,0,10.203,-2.80
1/28/2022,04:15:30 pm,0,10.203,-2.80
1/28/2022,04:30:30 pm,0,10.206,-2.80
1/28/2022,04:45:30 pm,0,10.209,-2.80
1/28/2022,05:00:30 pm,0,10.209,-2.90
1/28/2022,05:15:30 pm,0,10.209,-3.30
1/28/2022,05:30:30 pm,0,10.212,-3.80
1/28/2022,05:45:30 pm,0,10.215,-4.70
1/28/2022,06:00:30 pm,0,10.221,-6.00
1/28/2022,06:15:30 pm,0,10.224,-7.70
1/28/2022,06:30:30 pm,0,10.227,-7.90
1/28/2022,06:45:30 pm,0,10.230,-8.50
1/28/2022,07:00:30 pm,0,10.233,-8.90
1/28/2022,07:15:30 pm,0,10.233,-9.10
1/28/2022,07:30:30 pm,0,10.233,-8.90
1/28/2022,07:45:30 pm,0,10.233,-8.80
1/28/2022,08:00:30 pm,0,10.233,-8.90
1/28/2022,08:15:30 pm,0,10.233,-8.50
1/28/2022,08:30:30 pm,0,10.236,-9.00
1/28/2022,08:45:30 pm,0,10.236,-8.60
1/28/2022,09:00:30 pm,0,10.236,-8.40
1/28/2022,09:15:30 pm,0,10.239,-8.10
1/28/2022,09:30:30 pm,0,10.233,-7.40
1/28/2022,09:45:30 pm,0,10.233,-6.90
1/28/2022,10:00:30 pm,0,10.233,-6.70
1/28/2022,10:15:30 pm,0,10.236,-7.10
1/28/2022,10:30:30 pm,0,10.236,-6.90
1/28/2022,10:45:30 pm,0,10.233,-6.70
1/28/2022,11:00:30 pm,0,10.236,-6.60
1/28/2022,11:15:30 pm,0,10.236,-6.70
1/28/2022,11:30:30 pm,0,10.236,-7.20
1/28/2022,11:45:30 pm,0,10.236,-7.90
1/29/2022,12:00:30 am,0,10.236,-8.40
1/29/2022,12:15:30 am,0,10.233,-8.90
1/29/2022,12:30:30 am,0,10.233,-9.20
1/29/2022,12:45:30 am,0,10.233,-9.30
1/29/2022,01:00:30 am,0,10.233,-9.30
1/29/2022,01:15:30 am,0,10.233,-9.50
1/29/2022,01:30:30 am,0,10.230,-9.80
1/29/2022,01:45:30 am,0,10.230,-9.70
1/29/2022,02:00:30 am,0,10.230,-9.90
1/29/2022,02:15:30 am,0,10.230,-10.40
