Serial_number:
2036204
Project ID:
ACRE Wetland
Location:
Outlet
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
10/26/2023,02:45:00 pm,0,10.098,19.70
10/26/2023,03:00:00 pm,0,10.101,19.20
10/26/2023,03:15:00 pm,0,10.104,18.80
10/26/2023,03:30:00 pm,0,10.107,18.10
10/26/2023,03:45:00 pm,0,10.098,17.60
10/26/2023,04:00:00 pm,0,10.092,17.50
10/26/2023,04:15:00 pm,0,10.092,17.30
10/26/2023,04:30:00 pm,0,10.104,17.20
10/26/2023,04:45:00 pm,0,10.101,17.10
10/26/2023,05:00:00 pm,0,10.101,17.10
10/26/2023,05:15:00 pm,0,10.101,17.00
10/26/2023,05:30:00 pm,0,10.098,16.90
10/26/2023,05:45:00 pm,0,10.107,16.90
10/26/2023,06:00:00 pm,0,10.104,16.80
10/26/2023,06:15:00 pm,0,10.104,16.70
10/26/2023,06:30:00 pm,0,10.104,16.70
10/26/2023,06:45:00 pm,0,10.104,16.60
10/26/2023,07:00:00 pm,0,10.104,16.60
10/26/2023,07:15:00 pm,0,10.104,16.50
10/26/2023,07:30:00 pm,0,10.101,16.50
10/26/2023,07:45:00 pm,0,10.101,16.50
10/26/2023,08:00:00 pm,0,10.098,16.40
10/26/2023,08:15:00 pm,0,10.101,16.40
10/26/2023,08:30:00 pm,0,10.098,16.40
10/26/2023,08:45:00 pm,0,10.098,16.40
10/26/2023,09:00:00 pm,0,10.101,16.30
10/26/2023,09:15:00 pm,0,10.101,16.30
10/26/2023,09:30:00 pm,0,10.101,16.20
10/26/2023,09:45:00 pm,0,10.101,16.20
10/26/2023,10:00:00 pm,0,10.101,16.20
10/26/2023,10:15:00 pm,0,10.101,16.20
10/26/2023,10:30:00 pm,0,10.101,16.20
10/26/2023,10:45:00 pm,0,10.101,16.20
10/26/2023,11:00:00 pm,0,10.101,16.20
10/26/2023,11:15:00 pm,0,10.098,16.20
10/26/2023,11:30:00 pm,0,10.101,16.20
10/26/2023,11:45:00 pm,0,10.104,16.30
10/27/2023,12:00:00 am,0,10.101,16.30
10/27/2023,12:15:00 am,0,10.101,16.40
10/27/2023,12:30:00 am,0,10.101,16.40
10/27/2023,12:45:00 am,0,10.098,16.40
10/27/2023,01:00:00 am,0,10.101,16.50
10/27/2023,01:15:00 am,0,10.098,16.50
10/27/2023,01:30:00 am,0,10.098,16.50
10/27/2023,01:45:00 am,0,10.098,16.50
10/27/2023,02:00:00 am,0,10.098,16.50
10/27/2023,02:15:00 am,0,10.098,16.40
10/27/2023,02:30:00 am,0,10.098,16.40
10/27/2023,02:45:00 am,0,10.098,16.40
10/27/2023,03:00:00 am,0,10.098,16.30
10/27/2023,03:15:00 am,0,10.098,16.30
10/27/2023,03:30:00 am,0,10.098,16.30
10/27/2023,03:45:00 am,0,10.098,16.30
10/27/2023,04:00:00 am,0,10.098,16.30
10/27/2023,04:15:00 am,0,10.098,16.30
10/27/2023,04:30:00 am,0,10.098,16.30
10/27/2023,04:45:00 am,0,10.101,16.30
10/27/2023,05:00:00 am,0,10.101,16.30
10/27/2023,05:15:00 am,0,10.101,16.30
10/27/2023,05:30:00 am,0,10.101,16.30
10/27/2023,05:45:00 am,0,10.104,16.30
10/27/2023,06:00:00 am,0,10.101,16.20
10/27/2023,06:15:00 am,0,10.101,16.20
10/27/2023,06:30:00 am,0,10.104,16.20
10/27/2023,06:45:00 am,0,10.104,16.20
10/27/2023,07:00:00 am,0,10.104,16.00
10/27/2023,07:15:00 am,0,10.104,16.00
10/27/2023,07:30:00 am,0,10.104,16.00
10/27/2023,07:45:00 am,0,10.107,16.10
10/27/2023,08:00:00 am,0,10.107,16.10
10/27/2023,08:15:00 am,0,10.107,16.20
10/27/2023,08:30:00 am,0,10.110,16.30
10/27/2023,08:45:00 am,0,10.110,16.40
10/27/2023,09:00:00 am,0,10.110,16.50
10/27/2023,09:15:00 am,0,10.110,16.60
10/27/2023,09:30:00 am,0,10.107,16.70
10/27/2023,09:45:00 am,0,10.110,16.80
10/27/2023,10:00:00 am,0,10.110,16.90
10/27/2023,10:15:00 am,0,10.110,17.00
10/27/2023,10:30:00 am,0,10.110,17.10
10/27/2023,10:45:00 am,0,10.110,17.20
10/27/2023,11:00:00 am,0,10.110,17.30
10/27/2023,11:15:00 am,0,10.110,17.40
10/27/2023,11:30:00 am,0,10.110,17.60
10/27/2023,11:45:00 am,0,10.107,17.80
10/27/2023,12:00:00 pm,0,10.104,17.90
10/27/2023,12:15:00 pm,0,10.104,18.10
10/27/2023,12:30:00 pm,0,10.104,18.20
10/27/2023,12:45:00 pm,0,10.101,18.10
10/27/2023,01:00:00 pm,0,10.101,18.20
10/27/2023,01:15:00 pm,0,10.098,18.30
10/27/2023,01:30:00 pm,0,10.098,18.30
10/27/2023,01:45:00 pm,0,10.098,18.40
10/27/2023,02:00:00 pm,0,10.098,18.40
10/27/2023,02:15:00 pm,0,10.098,18.40
10/27/2023,02:30:00 pm,0,10.098,18.40
10/27/2023,02:45:00 pm,0,10.098,18.50
10/27/2023,03:00:00 pm,0,10.095,18.60
10/27/2023,03:15:00 pm,0,10.095,18.70
10/27/2023,03:30:00 pm,0,10.095,18.70
10/27/2023,03:45:00 pm,0,10.098,18.80
10/27/2023,04:00:00 pm,0,10.098,18.90
10/27/2023,04:15:00 pm,0,10.098,18.80
10/27/2023,04:30:00 pm,0,10.101,18.80
10/27/2023,04:45:00 pm,0,10.101,18.70
10/27/2023,05:00:00 pm,0,10.101,18.70
10/27/2023,05:15:00 pm,0,10.101,18.70
10/27/2023,05:30:00 pm,0,10.101,18.70
10/27/2023,05:45:00 pm,0,10.104,18.70
10/27/2023,06:00:00 pm,0,10.104,18.60
10/27/2023,06:15:00 pm,0,10.101,18.50
10/27/2023,06:30:00 pm,0,10.107,18.40
