Serial_number:
2074981
Project ID:
Field 63
Location:
ACRE
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
4/7/2025,01:15:00 pm,0,10.365,12.30
4/7/2025,01:20:00 pm,0,10.370,12.30
4/7/2025,01:25:00 pm,0,10.367,12.30
4/7/2025,01:30:00 pm,0,10.367,12.30
4/7/2025,01:35:00 pm,0,10.370,12.40
4/7/2025,01:40:00 pm,0,10.371,12.40
4/7/2025,01:45:00 pm,0,10.373,12.40
4/7/2025,01:50:00 pm,0,10.371,12.30
4/7/2025,01:55:00 pm,0,10.373,12.30
4/7/2025,02:00:00 pm,0,10.374,12.30
4/7/2025,02:05:00 pm,0,10.374,12.20
4/7/2025,02:10:00 pm,0,10.374,12.10
4/7/2025,02:15:00 pm,0,10.374,12.00
4/7/2025,02:20:00 pm,0,10.376,11.90
4/7/2025,02:25:00 pm,0,10.376,11.80
4/7/2025,02:30:00 pm,0,10.376,11.70
4/7/2025,02:35:00 pm,0,10.376,11.60
4/7/2025,02:40:00 pm,0,10.376,11.50
4/7/2025,02:45:00 pm,0,10.376,11.40
4/7/2025,02:50:00 pm,0,10.376,11.20
4/7/2025,02:55:00 pm,0,10.377,11.10
4/7/2025,03:00:00 pm,0,10.377,11.00
4/7/2025,03:05:00 pm,0,10.377,10.90
4/7/2025,03:10:00 pm,0,10.377,10.80
4/7/2025,03:15:00 pm,0,10.377,10.70
4/7/2025,03:20:00 pm,0,10.377,10.60
4/7/2025,03:25:00 pm,0,10.376,10.50
4/7/2025,03:30:00 pm,0,10.379,10.50
4/7/2025,03:35:00 pm,0,10.379,10.40
4/7/2025,03:40:00 pm,0,10.379,10.30
4/7/2025,03:45:00 pm,0,10.380,10.30
4/7/2025,03:50:00 pm,0,10.380,10.20
4/7/2025,03:55:00 pm,0,10.382,10.20
4/7/2025,04:00:00 pm,0,10.382,10.10
4/7/2025,04:05:00 pm,0,10.383,10.10
4/7/2025,04:10:00 pm,0,10.383,10.00
4/7/2025,04:15:00 pm,0,10.385,10.00
4/7/2025,04:20:00 pm,0,10.383,9.90
4/7/2025,04:25:00 pm,0,10.383,9.80
4/7/2025,04:30:00 pm,0,10.385,9.80
4/7/2025,04:35:00 pm,0,10.386,9.80
4/7/2025,04:40:00 pm,0,10.385,9.70
4/7/2025,04:45:00 pm,0,10.386,9.70
4/7/2025,04:50:00 pm,0,10.388,9.70
4/7/2025,04:55:00 pm,0,10.391,9.70
4/7/2025,05:00:00 pm,0,10.392,9.70
4/7/2025,05:05:00 pm,0,10.392,9.70
4/7/2025,05:10:00 pm,0,10.394,9.70
4/7/2025,05:15:00 pm,0,10.395,9.70
4/7/2025,05:20:00 pm,0,10.394,9.60
4/7/2025,05:25:00 pm,0,10.395,9.60
4/7/2025,05:30:00 pm,0,10.397,9.60
4/7/2025,05:35:00 pm,0,10.398,9.50
4/7/2025,05:40:00 pm,0,10.398,9.50
4/7/2025,05:45:00 pm,0,10.400,9.40
4/7/2025,05:50:00 pm,0,10.401,9.40
4/7/2025,05:55:00 pm,0,10.401,9.30
4/7/2025,06:00:00 pm,0,10.401,9.20
4/7/2025,06:05:00 pm,0,10.401,9.10
4/7/2025,06:10:00 pm,0,10.401,9.00
4/7/2025,06:15:00 pm,0,10.401,8.90
4/7/2025,06:20:00 pm,0,10.401,8.80
4/7/2025,06:25:00 pm,0,10.401,8.70
4/7/2025,06:30:00 pm,0,10.401,8.60
4/7/2025,06:35:00 pm,0,10.403,8.60
4/7/2025,06:40:00 pm,0,10.404,8.50
4/7/2025,06:45:00 pm,0,10.406,8.40
4/7/2025,06:50:00 pm,0,10.406,8.30
4/7/2025,06:55:00 pm,0,10.406,8.20
4/7/2025,07:00:00 pm,0,10.407,8.10
4/7/2025,07:05:00 pm,0,10.407,8.00
4/7/2025,07:10:00 pm,0,10.409,7.90
4/7/2025,07:15:00 pm,0,10.409,7.80
4/7/2025,07:20:00 pm,0,10.409,7.70
4/7/2025,07:25:00 pm,0,10.410,7.60
4/7/2025,07:30:00 pm,0,10.410,7.50
4/7/2025,07:35:00 pm,0,10.412,7.50
4/7/2025,07:40:00 pm,0,10.412,7.40
4/7/2025,07:45:00 pm,0,10.412,7.30
4/7/2025,07:50:00 pm,0,10.410,7.20
4/7/2025,07:55:00 pm,0,10.412,7.20
4/7/2025,08:00:00 pm,0,10.412,7.10
4/7/2025,08:05:00 pm,0,10.413,7.10
4/7/2025,08:10:00 pm,0,10.413,7.00
4/7/2025,08:15:00 pm,0,10.415,6.90
4/7/2025,08:20:00 pm,0,10.415,6.90
4/7/2025,08:25:00 pm,0,10.415,6.80
4/7/2025,08:30:00 pm,0,10.416,6.80
4/7/2025,08:35:00 pm,0,10.418,6.80
4/7/2025,08:40:00 pm,0,10.418,6.70
4/7/2025,08:45:00 pm,0,10.418,6.70
4/7/2025,08:50:00 pm,0,10.418,6.60
4/7/2025,08:55:00 pm,0,10.418,6.60
