Date,Time,ms,LEVEL (m),TEMPERATURE (degC),Date_P,Time_P,Date_Time
2021/08/24,18:15:00,0,10.089,30.0,2021-08-24,18:15:00,2021-08-24 18:15:00
2021/08/24,18:30:00,0,10.086,28.6,2021-08-24,18:30:00,2021-08-24 18:30:00
2021/08/24,18:45:00,0,10.086,27.9,2021-08-24,18:45:00,2021-08-24 18:45:00
2021/08/24,19:00:00,0,10.083,27.6,2021-08-24,19:00:00,2021-08-24 19:00:00
2021/08/24,19:15:00,0,10.083,27.4,2021-08-24,19:15:00,2021-08-24 19:15:00
2021/08/24,19:30:00,0,10.08,27.1,2021-08-24,19:30:00,2021-08-24 19:30:00
2021/08/24,19:45:00,0,10.083,26.9,2021-08-24,19:45:00,2021-08-24 19:45:00
2021/08/24,20:00:00,0,10.083,26.5,2021-08-24,20:00:00,2021-08-24 20:00:00
2021/08/24,20:15:00,0,10.083,26.1,2021-08-24,20:15:00,2021-08-24 20:15:00
2021/08/24,20:30:00,0,10.083,25.8,2021-08-24,20:30:00,2021-08-24 20:30:00
2021/08/24,20:45:00,0,10.086,25.5,2021-08-24,20:45:00,2021-08-24 20:45:00
2021/08/24,21:00:00,0,10.086,25.3,2021-08-24,21:00:00,2021-08-24 21:00:00
2021/08/24,21:15:00,0,10.089,25.1,2021-08-24,21:15:00,2021-08-24 21:15:00
2021/08/24,21:30:00,0,10.089,25.0,2021-08-24,21:30:00,2021-08-24 21:30:00
2021/08/24,21:45:00,0,10.092,25.0,2021-08-24,21:45:00,2021-08-24 21:45:00
2021/08/24,22:00:00,0,10.095,24.9,2021-08-24,22:00:00,2021-08-24 22:00:00
2021/08/24,22:15:00,0,10.098,24.7,2021-08-24,22:15:00,2021-08-24 22:15:00
2021/08/24,22:30:00,0,10.101,24.3,2021-08-24,22:30:00,2021-08-24 22:30:00
2021/08/24,22:45:00,0,10.104,24.2,2021-08-24,22:45:00,2021-08-24 22:45:00
2021/08/24,23:00:00,0,10.104,24.1,2021-08-24,23:00:00,2021-08-24 23:00:00
2021/08/24,23:15:00,0,10.104,24.0,2021-08-24,23:15:00,2021-08-24 23:15:00
2021/08/24,23:30:00,0,10.104,24.0,2021-08-24,23:30:00,2021-08-24 23:30:00
2021/08/24,23:45:00,0,10.107,24.0,2021-08-24,23:45:00,2021-08-24 23:45:00
2021/08/25,00:00:00,0,10.107,24.0,2021-08-25,00:00:00,2021-08-25 00:00:00
2021/08/25,00:15:00,0,10.113,24.1,2021-08-25,00:15:00,2021-08-25 00:15:00
2021/08/25,00:30:00,0,10.119,23.8,2021-08-25,00:30:00,2021-08-25 00:30:00
2021/08/25,00:45:00,0,10.116,23.6,2021-08-25,00:45:00,2021-08-25 00:45:00
2021/08/25,01:00:00,0,10.122,23.4,2021-08-25,01:00:00,2021-08-25 01:00:00
2021/08/25,01:15:00,0,10.116,23.1,2021-08-25,01:15:00,2021-08-25 01:15:00
2021/08/25,01:30:00,0,10.113,22.9,2021-08-25,01:30:00,2021-08-25 01:30:00
2021/08/25,01:45:00,0,10.11,22.8,2021-08-25,01:45:00,2021-08-25 01:45:00
2021/08/25,02:00:00,0,10.107,22.8,2021-08-25,02:00:00,2021-08-25 02:00:00
2021/08/25,02:15:00,0,10.095,22.8,2021-08-25,02:15:00,2021-08-25 02:15:00
2021/08/25,02:30:00,0,10.101,22.8,2021-08-25,02:30:00,2021-08-25 02:30:00
2021/08/25,02:45:00,0,10.104,22.7,2021-08-25,02:45:00,2021-08-25 02:45:00
2021/08/25,03:00:00,0,10.11,22.6,2021-08-25,03:00:00,2021-08-25 03:00:00
2021/08/25,03:15:00,0,10.104,22.6,2021-08-25,03:15:00,2021-08-25 03:15:00
2021/08/25,03:30:00,0,10.104,22.6,2021-08-25,03:30:00,2021-08-25 03:30:00
2021/08/25,03:45:00,0,10.104,22.6,2021-08-25,03:45:00,2021-08-25 03:45:00
2021/08/25,04:00:00,0,10.107,22.6,2021-08-25,04:00:00,2021-08-25 04:00:00
2021/08/25,04:15:00,0,10.107,22.5,2021-08-25,04:15:00,2021-08-25 04:15:00
2021/08/25,04:30:00,0,10.107,22.5,2021-08-25,04:30:00,2021-08-25 04:30:00
2021/08/25,04:45:00,0,10.107,22.5,2021-08-25,04:45:00,2021-08-25 04:45:00
2021/08/25,05:00:00,0,10.11,22.5,2021-08-25,05:00:00,2021-08-25 05:00:00
2021/08/25,05:15:00,0,10.11,22.4,2021-08-25,05:15:00,2021-08-25 05:15:00
2021/08/25,05:30:00,0,10.11,22.4,2021-08-25,05:30:00,2021-08-25 05:30:00
2021/08/25,05:45:00,0,10.113,22.4,2021-08-25,05:45:00,2021-08-25 05:45:00
2021/08/25,06:00:00,0,10.113,22.3,2021-08-25,06:00:00,2021-08-25 06:00:00
2021/08/25,06:15:00,0,10.116,22.3,2021-08-25,06:15:00,2021-08-25 06:15:00
2021/08/25,06:30:00,0,10.116,22.3,2021-08-25,06:30:00,2021-08-25 06:30:00
2021/08/25,06:45:00,0,10.116,22.1,2021-08-25,06:45:00,2021-08-25 06:45:00
2021/08/25,07:00:00,0,10.116,22.1,2021-08-25,07:00:00,2021-08-25 07:00:00
2021/08/25,07:15:00,0,10.113,22.1,2021-08-25,07:15:00,2021-08-25 07:15:00
2021/08/25,07:30:00,0,10.113,22.0,2021-08-25,07:30:00,2021-08-25 07:30:00
2021/08/25,07:45:00,0,10.116,22.0,2021-08-25,07:45:00,2021-08-25 07:45:00
2021/08/25,08:00:00,0,10.119,22.0,2021-08-25,08:00:00,2021-08-25 08:00:00
2021/08/25,08:15:00,0,10.119,21.9,2021-08-25,08:15:00,2021-08-25 08:15:00
2021/08/25,08:30:00,0,10.122,21.9,2021-08-25,08:30:00,2021-08-25 08:30:00
2021/08/25,08:45:00,0,10.122,21.9,2021-08-25,08:45:00,2021-08-25 08:45:00
2021/08/25,09:00:00,0,10.125,22.1,2021-08-25,09:00:00,2021-08-25 09:00:00
2021/08/25,09:15:00,0,10.125,22.2,2021-08-25,09:15:00,2021-08-25 09:15:00
2021/08/25,09:30:00,0,10.125,22.3,2021-08-25,09:30:00,2021-08-25 09:30:00
2021/08/25,09:45:00,0,10.128,22.3,2021-08-25,09:45:00,2021-08-25 09:45:00
2021/08/25,10:00:00,0,10.131,22.4,2021-08-25,10:00:00,2021-08-25 10:00:00
2021/08/25,10:15:00,0,10.131,22.5,2021-08-25,10:15:00,2021-08-25 10:15:00
2021/08/25,10:30:00,0,10.131,22.6,2021-08-25,10:30:00,2021-08-25 10:30:00
2021/08/25,10:45:00,0,10.131,22.8,2021-08-25,10:45:00,2021-08-25 10:45:00
2021/08/25,11:00:00,0,10.128,22.9,2021-08-25,11:00:00,2021-08-25 11:00:00
2021/08/25,11:15:00,0,10.131,23.1,2021-08-25,11:15:00,2021-08-25 11:15:00
2021/08/25,11:30:00,0,10.131,23.5,2021-08-25,11:30:00,2021-08-25 11:30:00
2021/08/25,11:45:00,0,10.131,23.9,2021-08-25,11:45:00,2021-08-25 11:45:00
2021/08/25,12:00:00,0,10.131,24.0,2021-08-25,12:00:00,2021-08-25 12:00:00
2021/08/25,12:15:00,0,10.131,24.4,2021-08-25,12:15:00,2021-08-25 12:15:00
2021/08/25,12:30:00,0,10.131,24.5,2021-08-25,12:30:00,2021-08-25 12:30:00
2021/08/25,12:45:00,0,10.134,25.0,2021-08-25,12:45:00,2021-08-25 12:45:00
2021/08/25,13:00:00,0,10.134,25.3,2021-08-25,13:00:00,2021-08-25 13:00:00
2021/08/25,13:15:00,0,10.137,26.4,2021-08-25,13:15:00,2021-08-25 13:15:00
2021/08/25,13:30:00,0,10.131,27.2,2021-08-25,13:30:00,2021-08-25 13:30:00
2021/08/25,13:45:00,0,10.131,27.5,2021-08-25,13:45:00,2021-08-25 13:45:00
2021/08/25,14:00:00,0,10.125,27.5,2021-08-25,14:00:00,2021-08-25 14:00:00
2021/08/25,14:15:00,0,10.119,27.5,2021-08-25,14:15:00,2021-08-25 14:15:00
2021/08/25,14:30:00,0,10.128,27.1,2021-08-25,14:30:00,2021-08-25 14:30:00
2021/08/25,14:45:00,0,10.125,27.0,2021-08-25,14:45:00,2021-08-25 14:45:00
2021/08/25,15:00:00,0,10.122,26.9,2021-08-25,15:00:00,2021-08-25 15:00:00
2021/08/25,15:15:00,0,10.122,26.9,2021-08-25,15:15:00,2021-08-25 15:15:00
2021/08/25,15:30:00,0,10.122,26.9,2021-08-25,15:30:00,2021-08-25 15:30:00
2021/08/25,15:45:00,0,10.119,26.6,2021-08-25,15:45:00,2021-08-25 15:45:00
2021/08/25,16:00:00,0,10.122,26.6,2021-08-25,16:00:00,2021-08-25 16:00:00
2021/08/25,16:15:00,0,10.119,26.6,2021-08-25,16:15:00,2021-08-25 16:15:00
2021/08/25,16:30:00,0,10.119,26.5,2021-08-25,16:30:00,2021-08-25 16:30:00
2021/08/25,16:45:00,0,10.122,26.5,2021-08-25,16:45:00,2021-08-25 16:45:00
2021/08/25,17:00:00,0,10.119,26.6,2021-08-25,17:00:00,2021-08-25 17:00:00
2021/08/25,17:15:00,0,10.119,26.7,2021-08-25,17:15:00,2021-08-25 17:15:00
2021/08/25,17:30:00,0,10.122,26.8,2021-08-25,17:30:00,2021-08-25 17:30:00
2021/08/25,17:45:00,0,10.122,26.9,2021-08-25,17:45:00,2021-08-25 17:45:00
2021/08/25,18:00:00,0,10.122,26.9,2021-08-25,18:00:00,2021-08-25 18:00:00
2021/08/25,18:15:00,0,10.119,26.8,2021-08-25,18:15:00,2021-08-25 18:15:00
2021/08/25,18:30:00,0,10.119,26.9,2021-08-25,18:30:00,2021-08-25 18:30:00
2021/08/25,18:45:00,0,10.119,26.7,2021-08-25,18:45:00,2021-08-25 18:45:00
2021/08/25,19:00:00,0,10.119,26.4,2021-08-25,19:00:00,2021-08-25 19:00:00
2021/08/25,19:15:00,0,10.119,26.3,2021-08-25,19:15:00,2021-08-25 19:15:00
